Rank	Title	Actors
1	Guardians of the Galaxy	Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana
2	Prometheus	Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron
3	Split	James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula
4	Sing	Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson
5	Suicide Squad	Will Smith, Jared Leto, Margot Robbie, Viola Davis
6	The Great Wall	Matt Damon, Tian Jing, Willem Dafoe, Andy Lau
7	La La Land	Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons
8	Mindhorn	Essie Davis, Andrea Riseborough, Julian Barratt,Kenneth Branagh
9	The Lost City of Z	Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland
10	Passengers	Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne
11	Fantastic Beasts and Where to Find Them	Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler
12	Hidden Figures	Taraji P. Henson, Octavia Spencer, Janelle MonÃ¡e,Kevin Costner
13	Rogue One	Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen
14	Moana	Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison
15	Colossal	Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson
16	The Secret Life of Pets	Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell
17	Hacksaw Ridge	Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer
18	Jason Bourne	Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel
19	Lion	Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar
20	Arrival	Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg
21	Gold	Matthew McConaughey, Edgar RamÃ­rez, Bryce Dallas Howard, Corey Stoll
22	Manchester by the Sea	Casey Affleck, Michelle Williams, Kyle Chandler,Lucas Hedges
23	Hounds of Love	Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter
24	Trolls	Anna Kendrick, Justin Timberlake,Zooey Deschanel, Christopher Mintz-Plasse
25	Independence Day: Resurgence	Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe
26	Paris pieds nus	Fiona Gordon, Dominique Abel,Emmanuelle Riva, Pierre Richard
27	Bahubali: The Beginning	Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia
28	Dead Awake	Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty
29	Bad Moms	Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate
30	Assassin's Creed	Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson
31	Why Him?	Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer
32	Nocturnal Animals	Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson
33	X-Men: Apocalypse	James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult
34	Deadpool	Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein
35	Resident Evil: The Final Chapter	Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts
36	Captain America: Civil War	Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan
37	Interstellar	Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy
38	Doctor Strange	Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong
39	The Magnificent Seven	Denzel Washington, Chris Pratt, Ethan Hawke,Vincent D'Onofrio
40	5/25/77	John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn
41	Sausage Party	Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell
42	Moonlight	Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert
43	Don't Fuck in the Woods	Brittany Blanton, Ayse Howard, Roman Jossart,Nadia White
44	The Founder	Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini
45	Lowriders	Gabriel Chavarria, DemiÃ¡n Bichir, Theo Rossi,Tony Revolori
46	Pirates of the Caribbean: On Stranger Tides	Johnny Depp, PenÃ©lope Cruz, Ian McShane, Geoffrey Rush
47	Miss Sloane	Jessica Chastain, Mark Strong, Gugu Mbatha-Raw,Michael Stuhlbarg
48	Fallen	Hermione Corfield, Addison Timlin, Joely Richardson,Jeremy Irvine
49	Star Trek Beyond	Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana
50	The Last Face	Charlize Theron, Javier Bardem, AdÃ¨le Exarchopoulos,Jared Harris
51	Star Wars: Episode VII - The Force Awakens	Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson
52	Underworld: Blood Wars	Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver
53	Mother's Day	Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis
54	John Wick	Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe
55	The Dark Knight	Christian Bale, Heath Ledger, Aaron Eckhart,Michael Caine
56	Silence	Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano
57	Don't Breathe	Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto
58	Me Before You	Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance
59	Their Finest	Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston
60	Sully	Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey
61	Batman v Superman: Dawn of Justice	Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg
62	The Autopsy of Jane Doe	Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton
63	The Girl on the Train	Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux
64	Fifty Shades of Grey	Dakota Johnson, Jamie Dornan, Jennifer Ehle,Eloise Mumford
65	The Prestige	Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine
66	Kingsman: The Secret Service	Colin Firth, Taron Egerton, Samuel L. Jackson,Michael Caine
67	Patriots Day	Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman
68	Mad Max: Fury Road	Tom Hardy, Charlize Theron, Nicholas Hoult, ZoÃ« Kravitz
69	Wakefield	Bryan Cranston, Jennifer Garner, Beverly D'Angelo,Jason O'Mara
70	Deepwater Horizon	Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont
71	The Promise	Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel GimÃ©nez Cacho
72	Allied	Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim
73	A Monster Calls	Lewis MacDougall, Sigourney Weaver, Felicity Jones,Toby Kebbell
74	Collateral Beauty	Will Smith, Edward Norton, Kate Winslet, Michael PeÃ±a
75	Zootopia	Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate
76	Pirates of the Caribbean: At World's End	Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush
77	The Avengers	Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner
78	Inglourious Basterds	Brad Pitt, Diane Kruger, Eli Roth,MÃ©lanie Laurent
79	Pirates of the Caribbean: Dead Man's Chest	Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport
80	Ghostbusters	Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones
81	Inception	Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe
82	Captain Fantastic	Viggo Mortensen, George MacKay, Samantha Isler,Annalise Basso
83	The Wolf of Wall Street	Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey
84	Gone Girl	Ben Affleck, Rosamund Pike, Neil Patrick Harris,Tyler Perry
85	Furious Seven	Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham
86	Jurassic World	Chris Pratt, Bryce Dallas Howard, Ty Simpkins,Judy Greer
87	Live by Night	Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina
88	Avatar	Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez
89	The Hateful Eight	Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins
90	The Accountant	Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal
91	Prisoners	Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo
92	Warcraft	Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper
93	The Help	Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard
94	War Dogs	Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner
95	Avengers: Age of Ultron	Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth
96	The Nice Guys	Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer
97	Kimi no na wa	RyÃ»nosuke Kamiki, Mone Kamishiraishi, RyÃ´ Narita, Aoi Yuki
98	The Void	Aaron Poole, Kenneth Welsh,Daniel Fathers, Kathleen Munroe
99	Personal Shopper	Kristen Stewart, Lars Eidinger, Sigrid Bouaziz,Anders Danielsen Lie
100	The Departed	Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg
101	Legend	Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson
102	Thor	Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston
103	The Martian	Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara
104	Contratiempo	Mario Casas, Ana Wagener, JosÃ© Coronado, BÃ¡rbara Lennie
105	The Man from U.N.C.L.E.	Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki
106	Hell or High Water	Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham
107	The Comedian	Robert De Niro, Leslie Mann, Danny DeVito, Edie Falco
108	The Legend of Tarzan	Alexander SkarsgÃ¥rd, Rory J. Saper, Christian Stevens, Christoph Waltz
109	All We Had	Eve Lindley, Richard Kind, Mark Consuelos, Katherine Reis
110	Ex Machina	Alicia Vikander, Domhnall Gleeson, Oscar Isaac,Sonoya Mizuno
111	The Belko Experiment	John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley
112	12 Years a Slave	Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt
113	The Bad Batch	Keanu Reeves, Jason Momoa, Jim Carrey, Diego Luna
114	300	Gerard Butler, Lena Headey, David Wenham, Dominic West
115	Harry Potter and the Deathly Hallows: Part 2	Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon
116	Office Christmas Party	Jason Bateman, Olivia Munn, T.J. Miller,Jennifer Aniston
117	The Neon Demon	Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman
118	Dangal	Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh,Sanya Malhotra
119	10 Cloverfield Lane	John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin
120	Finding Dory	Ellen DeGeneres, Albert Brooks,Ed O'Neill, Kaitlin Olson
121	Miss Peregrine's Home for Peculiar Children	Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench
122	Divergent	Shailene Woodley, Theo James, Kate Winslet, Jai Courtney
123	Mike and Dave Need Wedding Dates	Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza
124	Boyka: Undisputed IV	Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov
125	The Dark Knight Rises	Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman
126	The Jungle Book	Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba
127	Transformers: Age of Extinction	Mark Wahlberg, Nicola Peltz, Jack Reynor, Stanley Tucci
128	Nerve	Emma Roberts, Dave Franco, Emily Meade, Miles Heizer
129	Mamma Mia!	Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan SkarsgÃ¥rd
130	The Revenant	Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson
131	Fences	Denzel Washington, Viola Davis, Stephen Henderson, Jovan Adepo
132	Into the Woods	Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt
133	The Shallows	Blake Lively, Ã“scar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen
134	Whiplash	Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser
135	Furious 6	Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez
136	The Place Beyond the Pines	Ryan Gosling, Bradley Cooper, Eva Mendes,Craig Van Hook
137	No Country for Old Men	Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson
138	The Great Gatsby	Leonardo DiCaprio, Carey Mulligan, Joel Edgerton,Tobey Maguire
139	Shutter Island	Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley
140	Brimstone	Dakota Fanning, Guy Pearce, Kit Harington,Carice van Houten
141	Star Trek	Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy
142	Diary of a Wimpy Kid	Zachary Gordon, Robert Capron, Rachael Harris,Steve Zahn
143	The Big Short	Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt
144	Room	Brie Larson, Jacob Tremblay, Sean Bridgers,Wendy Crewson
145	Django Unchained	Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington
146	Ah-ga-ssi	Min-hee Kim, Jung-woo Ha, Jin-woong Jo, So-ri Moon
147	The Edge of Seventeen	Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick
148	Watchmen	Jackie Earle Haley, Patrick Wilson, Carla Gugino,Malin Akerman
149	Superbad	Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader
150	Inferno	Tom Hanks, Felicity Jones, Irrfan Khan, Ben Foster
151	The BFG	Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement
152	The Hunger Games	Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth,Stanley Tucci
153	White Girl	Morgan Saylor, Brian Marc, Justin Bartha, Adrian Martinez
154	Sicario	Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal
155	Twin Peaks: The Missing Pieces	Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder
156	Aliens vs Predator - Requiem	Reiko Aylesworth, Steven Pasquale,Shareeka Epps, John Ortiz
157	Pacific Rim	Idris Elba, Charlie Hunnam, Rinko Kikuchi,Charlie Day
158	Crazy, Stupid, Love.	Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone
159	Scott Pilgrim vs. the World	Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Alison Pill
160	Hot Fuzz	Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy
161	Mine	Armie Hammer, Annabelle Wallis,Tom Cullen, Clint Dyer
162	Free Fire	Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy
163	X-Men: Days of Future Past	Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy
164	Jack Reacher: Never Go Back	Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper
165	Casino Royale	Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright
166	Twilight	Kristen Stewart, Robert Pattinson, Billy Burke,Sarah Clarke
167	Now You See Me 2	Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco
168	Woman in Gold	Helen Mirren, Ryan Reynolds, Daniel BrÃ¼hl, Katie Holmes
169	13 Hours	John Krasinski, Pablo Schreiber, James Badge Dale,David Denman
170	Spectre	Daniel Craig, Christoph Waltz, LÃ©a Seydoux, Ralph Fiennes
171	Nightcrawler	Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed
172	Kubo and the Two Strings	Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes
173	Beyond the Gates	Graham Skipper, Chase Williamson, Brea Grant,Barbara Crampton
174	Her	Joaquin Phoenix, Amy Adams, Scarlett Johansson,Rooney Mara
175	Frozen	Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad
176	Tomorrowland	George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy
177	Dawn of the Planet of the Apes	Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee
178	Tropic Thunder	Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn
179	The Conjuring 2	Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor
180	Ant-Man	Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly
181	Bridget Jones's Baby	RenÃ©e Zellweger, Gemma Jones, Jim Broadbent,Sally Phillips
182	The VVitch: A New-England Folktale	Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings
183	Cinderella	Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter
184	Realive	Tom Hughes, Charlotte Le Bon, Oona Chaplin, Barry Ward
185	Forushande	Taraneh Alidoosti, Shahab Hosseini, Babak Karimi,Farid Sajjadi Hosseini
186	Love	Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra
187	Billy Lynn's Long Halftime Walk	Joe Alwyn, Garrett Hedlund, Arturo Castro, Mason Lee
188	Crimson Peak	Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam
189	Drive	Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks
190	Trainwreck	Amy Schumer, Bill Hader, Brie Larson, Colin Quinn
191	The Light Between Oceans	Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery
192	Below Her Mouth	Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen
193	Spotlight	Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber
194	Morgan	Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare
195	Warrior	Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison
196	Captain America: The First Avenger	Chris Evans, Hugo Weaving, Samuel L. Jackson,Hayley Atwell
197	Hacker	Callan McAuliffe, Lorraine Nicholson, Daniel Eric Gold, Clifton Collins Jr.
198	Into the Wild	Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden
199	The Imitation Game	Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech
200	Central Intelligence	Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan
201	Edge of Tomorrow	Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson
202	A Cure for Wellness	Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi
203	Snowden	Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo,Zachary Quinto
204	Iron Man	Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges
205	Allegiant	Shailene Woodley, Theo James, Jeff Daniels,Naomi Watts
206	X: First Class	James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon
207	Raw (II)	Garance Marillier, Ella Rumpf, Rabah Nait Oufella,Laurent Lucas
208	Paterson	Adam Driver, Golshifteh Farahani, Nellie, Rizwan Manji
209	Bridesmaids	Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews
210	The Girl with All the Gifts	Gemma Arterton, Glenn Close, Dominique Tipper,Paddy Considine
211	San Andreas	Dwayne Johnson, Carla Gugino, Alexandra Daddario,Colton Haynes
212	Spring Breakers	Vanessa Hudgens, Selena Gomez, Ashley Benson,Rachel Korine
213	Transformers	Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson
214	Old Boy	Josh Brolin, Elizabeth Olsen, Samuel L. Jackson, Sharlto Copley
215	Thor: The Dark World	Chris Hemsworth, Natalie Portman, Tom Hiddleston,Stellan SkarsgÃ¥rd
216	Gods of Egypt	Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman
217	Captain America: The Winter Soldier	Chris Evans, Samuel L. Jackson,Scarlett Johansson, Robert Redford
218	Monster Trucks	Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper
219	A Dark Song	Mark Huberman, Susan Loughnane, Steve Oram,Catherine Walker
220	Kick-Ass	Aaron Taylor-Johnson, Nicolas Cage, ChloÃ« Grace Moretz, Garrett M. Brown
221	Hardcore Henry	Sharlto Copley, Tim Roth, Haley Bennett, Danila Kozlovsky
222	Cars	Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy
223	It Follows	Maika Monroe, Keir Gilchrist, Olivia Luccardi,Lili Sepe
224	The Girl with the Dragon Tattoo	Daniel Craig, Rooney Mara, Christopher Plummer,Stellan SkarsgÃ¥rd
225	We're the Millers	Jason Sudeikis, Jennifer Aniston, Emma Roberts, Ed Helms
226	American Honey	Sasha Lane, Shia LaBeouf, Riley Keough, McCaul Lombardi
227	The Lobster	Colin Farrell, Rachel Weisz, Jessica Barden,Olivia Colman
228	Predators	Adrien Brody, Laurence Fishburne, Topher Grace,Alice Braga
229	Maleficent	Angelina Jolie, Elle Fanning, Sharlto Copley,Lesley Manville
230	Rupture	Noomi Rapace, Michael Chiklis, Kerry BishÃ©,Peter Stormare
231	Pan's Labyrinth	Ivana Baquero, Ariadna Gil, Sergi LÃ³pez,Maribel VerdÃº
232	A Kind of Murder	Patrick Wilson, Jessica Biel, Haley Bennett, Vincent Kartheiser
233	Apocalypto	Gerardo Taracena, Raoul Max Trujillo, Dalia HernÃ¡ndez,Rudy Youngblood
234	Mission: Impossible - Rogue Nation	Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg
235	The Huntsman: Winter's War	Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt
236	The Perks of Being a Wallflower	Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd
237	Jackie	Natalie Portman, Peter Sarsgaard, Greta Gerwig,Billy Crudup
238	The Disappointments Room	Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till
239	The Grand Budapest Hotel	Ralph Fiennes, F. Murray Abraham, Mathieu Amalric,Adrien Brody
240	The Host	Saoirse Ronan, Max Irons, Jake Abel, Diane Kruger
241	Fury	Brad Pitt, Shia LaBeouf, Logan Lerman, Michael PeÃ±a
242	Inside Out	Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling
243	Rock Dog	Luke Wilson, Eddie Izzard, J.K. Simmons, Lewis Black
244	Terminator Genisys	Arnold Schwarzenegger, Jason Clarke, Emilia Clarke,Jai Courtney
245	Percy Jackson & the Olympians: The Lightning Thief	Logan Lerman, Kevin McKidd, Steve Coogan,Brandon T. Jackson
246	Les MisÃ©rables	Hugh Jackman, Russell Crowe, Anne Hathaway,Amanda Seyfried
247	Children of Men	Julianne Moore, Clive Owen, Chiwetel Ejiofor,Michael Caine
248	20th Century Women	Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup
249	Spy	Melissa McCarthy, Rose Byrne, Jude Law, Jason Statham